taxa,contrast,estimate,SE,df,t.ratio,p.value
Perna,Controls - 15 | 45_2 %,11.418736067123518,7.034169687580977,21,1.6233239421681305,0.11943720497645559
Perna,Controls - 15 | 45_4 %,15.93346889504689,7.034169687580972,21,2.265152761835968,0.03420252620660952
Perna,Controls - 30 | 30_2 %,15.979707738061558,7.0341696875809765,21,2.271726223249089,0.03373741572643818
Perna,Controls - 30 | 30_4 %,-3.0139984123672536,7.034169687580971,21,-0.42847962819102225,0.6726648565129251
Perna,Controls - 45 | 15_2 %,-8.142412501728655,7.034169687580975,21,-1.1575513334721388,0.2600440567483863
Perna,Controls - 45 | 15_4 %,2.955384500323667,7.034169687580973,21,0.4201468874914238,0.6786458865056186
Perna,Controls - 60 | 0_2 %,-1.4224636204993502,7.034169687580973,21,-0.20222196558760164,0.8416894467612692
Perna,Controls - 60 | 0_4 %,18.9332722047839,7.034169687580975,21,2.6916143689583047,0.013661409914739532
Perna,15 | 45_2 % - 15 | 45_4 %,4.514732827923371,8.122359525300762,21,0.5558400627133278,0.5841943273089758
Perna,15 | 45_2 % - 30 | 30_2 %,4.56097167093804,8.122359525300766,21,0.5615328472878883,0.5803782875606662
Perna,15 | 45_2 % - 30 | 30_4 %,-14.432734479490772,8.122359525300762,21,-1.7769140155066385,0.09007181602302668
Perna,15 | 45_2 % - 45 | 15_2 %,-19.561148568852175,8.122359525300764,21,-2.4083086334605266,0.02529686617163889
Perna,15 | 45_2 % - 45 | 15_4 %,-8.463351566799851,8.122359525300764,21,-1.0419818946005668,0.30926803581258894
Perna,15 | 45_2 % - 60 | 0_2 %,-12.841199687622868,8.122359525300764,21,-1.5809691318911876,0.12883041523321478
Perna,15 | 45_2 % - 60 | 0_4 %,7.514536137660382,8.122359525300764,21,0.9251666482200104,0.36538941631953603
Perna,15 | 45_4 % - 30 | 30_2 %,0.04623884301466852,8.122359525300762,21,0.00569278457456072,0.9955115733747608
Perna,15 | 45_4 % - 30 | 30_4 %,-18.947467307414144,8.12235952530076,21,-2.332754078219967,0.029688311633455682
Perna,15 | 45_4 % - 45 | 15_2 %,-24.075881396775543,8.12235952530076,21,-2.9641486961738552,0.007403348643565783
Perna,15 | 45_4 % - 45 | 15_4 %,-12.978084394723222,8.12235952530076,21,-1.5978219573138952,0.12502151868968847
Perna,15 | 45_4 % - 60 | 0_2 %,-17.35593251554624,8.12235952530076,21,-2.1368091946045165,0.04454035328280084
Perna,15 | 45_4 % - 60 | 0_4 %,2.999803309737011,8.122359525300762,21,0.36932658550668274,0.715582193755522
Perna,30 | 30_2 % - 30 | 30_4 %,-18.99370615042881,8.122359525300762,21,-2.3384468627945267,0.029334379500698036
Perna,30 | 30_2 % - 45 | 15_2 %,-24.122120239790213,8.122359525300764,21,-2.969841480748415,0.007307928061767511
Perna,30 | 30_2 % - 45 | 15_4 %,-13.02432323773789,8.122359525300762,21,-1.6035147418884557,0.12375635177341335
Perna,30 | 30_2 % - 60 | 0_2 %,-17.402171358560906,8.122359525300764,21,-2.142501979179076,0.0440275455804942
Perna,30 | 30_2 % - 60 | 0_4 %,2.9535644667223426,8.122359525300764,21,0.36363380093212194,0.719766659503632
Perna,30 | 30_4 % - 45 | 15_2 %,-5.128414089361401,8.12235952530076,21,-0.6313946179538885,0.5345955554212602
Perna,30 | 30_4 % - 45 | 15_4 %,5.969382912690921,8.12235952530076,21,0.7349321209060715,0.4705091644948868
Perna,30 | 30_4 % - 60 | 0_2 %,1.5915347918679035,8.12235952530076,21,0.1959448836154505,0.8465369837658941
Perna,30 | 30_4 % - 60 | 0_4 %,21.947270617151155,8.122359525300762,21,2.7020806637266492,0.013348156024204551
Perna,45 | 15_2 % - 45 | 15_4 %,11.097797002052323,8.122359525300762,21,1.3663267388599598,0.1862897647370499
Perna,45 | 15_2 % - 60 | 0_2 %,6.719948881229305,8.122359525300762,21,0.8273395015693389,0.41734741077940885
Perna,45 | 15_2 % - 60 | 0_4 %,27.075684706512554,8.122359525300762,21,3.3334752816805375,0.003153235737499195
Perna,45 | 15_4 % - 60 | 0_2 %,-4.3778481208230176,8.12235952530076,21,-0.5389872372906211,0.5955641455671126
Perna,45 | 15_4 % - 60 | 0_4 %,15.977887704460233,8.122359525300762,21,1.9671485428205777,0.06251712973141625
Perna,60 | 0_2 % - 60 | 0_4 %,20.35573582528325,8.122359525300762,21,2.5061357801111988,0.020504526117167566
Mytilus,Controls - 15 | 45_2 %,0.321239609493525,0.9124945171505403,21,0.3520455229656223,0.7283123551511539
Mytilus,Controls - 15 | 45_4 %,0.16080323406420227,0.9124945171505395,21,0.17622378112072934,0.8618064953815686
Mytilus,Controls - 30 | 30_2 %,-0.11026131082556535,0.9124945171505401,21,-0.12083503928317285,0.9049704016025857
Mytilus,Controls - 30 | 30_4 %,-1.5247751170586592,0.9124945171505394,21,-1.6709964700063051,0.1095598695394491
Mytilus,Controls - 45 | 15_2 %,-1.134670883580014,0.9124945171505399,21,-1.2434824125006991,0.22739356818960108
Mytilus,Controls - 45 | 15_4 %,-0.9185321697436367,0.9124945171505396,21,-1.0066166453382657,0.3255777063740528
Mytilus,Controls - 60 | 0_2 %,-2.1013569372151095,0.9124945171505396,21,-2.3028707545301734,0.0316116052070097
Mytilus,Controls - 60 | 0_4 %,-0.5525213886880598,0.9124945171505399,21,-0.6055065299607788,0.5513310236243657
Mytilus,15 | 45_2 % - 15 | 45_4 %,-0.1604363754293227,1.0536579102218435,21,-0.152266094975307,0.8804305106463541
Mytilus,15 | 45_2 % - 30 | 30_2 %,-0.4315009203190903,1.0536579102218437,21,-0.4095265798633253,0.6863004165622395
Mytilus,15 | 45_2 % - 30 | 30_4 %,-1.8460147265521842,1.0536579102218435,21,-1.7520057588363884,0.09436443223682443
Mytilus,15 | 45_2 % - 45 | 15_2 %,-1.455910493073539,1.0536579102218435,21,-1.381767724561573,0.18156722456145816
Mytilus,15 | 45_2 % - 45 | 15_4 %,-1.2397717792371616,1.0536579102218435,21,-1.1766359529120154,0.2525065012382457
Mytilus,15 | 45_2 % - 60 | 0_2 %,-2.4225965467086343,1.0536579102218437,21,-2.2992249412321746,0.031853935012508945
Mytilus,15 | 45_2 % - 60 | 0_4 %,-0.8737609981815848,1.0536579102218437,21,-0.8292644032802048,0.416281796326208
Mytilus,15 | 45_4 % - 30 | 30_2 %,-0.2710645448897676,1.0536579102218435,21,-0.2572604848880184,0.7994816403853111
Mytilus,15 | 45_4 % - 30 | 30_4 %,-1.6855783511228615,1.0536579102218433,21,-1.5997396638610817,0.12459412408860339
Mytilus,15 | 45_4 % - 45 | 15_2 %,-1.2954741176442162,1.0536579102218433,21,-1.2295016295862662,0.23248189771563318
Mytilus,15 | 45_4 % - 45 | 15_4 %,-1.079335403807839,1.0536579102218433,21,-1.0243698579367089,0.317316636470666
Mytilus,15 | 45_4 % - 60 | 0_2 %,-2.262160171279312,1.0536579102218433,21,-2.1469588462568683,0.04362980518819958
Mytilus,15 | 45_4 % - 60 | 0_4 %,-0.713324622752262,1.0536579102218435,21,-0.6769983083048979,0.5057969171672685
Mytilus,30 | 30_2 % - 30 | 30_4 %,-1.4145138062330938,1.0536579102218435,21,-1.342479178973063,0.19377404490325878
Mytilus,30 | 30_2 % - 45 | 15_2 %,-1.0244095727544484,1.0536579102218435,21,-0.9722411446982475,0.34199698184721516
Mytilus,30 | 30_2 % - 45 | 15_4 %,-0.8082708589180714,1.0536579102218435,21,-0.7671093730486901,0.45155536692524334
Mytilus,30 | 30_2 % - 60 | 0_2 %,-1.991095626389544,1.0536579102218435,21,-1.8896983613688496,0.07268322376411296
Mytilus,30 | 30_2 % - 60 | 0_4 %,-0.44226007786249444,1.0536579102218435,21,-0.4197378234168795,0.6789400663344012
Mytilus,30 | 30_4 % - 45 | 15_2 %,0.3901042334786453,1.0536579102218435,21,0.37023803427481544,0.7149130822356493
Mytilus,30 | 30_4 % - 45 | 15_4 %,0.6062429473150225,1.0536579102218433,21,0.575369805924373,0.571155538368383
Mytilus,30 | 30_4 % - 60 | 0_2 %,-0.5765818201564503,1.0536579102218433,21,-0.5472191823957867,0.5899969005050418
Mytilus,30 | 30_4 % - 60 | 0_4 %,0.9722537283705994,1.0536579102218433,21,0.9227413555561838,0.36662301940751785
Mytilus,45 | 15_2 % - 45 | 15_4 %,0.21613871383637717,1.0536579102218435,21,0.2051317716495575,0.8394444905064923
Mytilus,45 | 15_2 % - 60 | 0_2 %,-0.9666860536350956,1.0536579102218435,21,-0.917457216670602,0.3693203838266902
Mytilus,45 | 15_2 % - 60 | 0_4 %,0.5821494948919541,1.0536579102218435,21,0.5525033212813681,0.5864368523829979
Mytilus,45 | 15_4 % - 60 | 0_2 %,-1.1828247674714727,1.0536579102218433,21,-1.1225889883201596,0.27428344282500944
Mytilus,45 | 15_4 % - 60 | 0_4 %,0.36601078105557694,1.0536579102218433,21,0.34737154963181066,0.7317694999818263
Mytilus,60 | 0_2 % - 60 | 0_4 %,1.5488355485270497,1.0536579102218435,21,1.4699605379519702,0.15639662305530838
